episode,reward, average reward, 100-episode running mean reward
162,-191.4904,-143.0379,-124.0023
163,-266.6028,-143.796,-125.3168
164,-106.6335,-143.5694,-125.3133
165,-321.1192,-144.6455,-126.5469
166,-107.7523,-144.4232,-126.1966
167,-80.403,-144.0399,-126.0565
168,-119.9134,-143.8963,-126.4515
169,-79.3991,-143.5146,-126.0873
170,-85.2448,-143.1719,-126.0298
171,-134.7518,-143.1226,-125.8545
172,-10.971,-142.3543,-124.2853
173,-179.1551,-142.567,-122.7455
174,-98.1721,-142.3119,-122.6665
175,-110.2488,-142.1287,-122.0623
176,-118.0816,-141.992,-122.1026
177,-68.6558,-141.5777,-122.6063
178,-153.2768,-141.6434,-122.1531
179,-173.9547,-141.8239,-122.8389
180,1.584,-141.0272,-121.6641
181,-153.2668,-141.0948,-121.4836
182,-38.4566,-140.5309,-120.6015
183,-40.5851,-139.9847,-120.2799
184,-95.4515,-139.7427,-119.4053
185,-584.9891,-142.1494,-124.4201
186,-34.0315,-141.5682,-122.7625
187,-31.5938,-140.9801,-122.6412
188,-130.7501,-140.9257,-122.6713
189,-107.046,-140.7464,-121.4797
190,-134.5332,-140.7137,-122.1518
191,-55.5496,-140.2678,-120.8901
192,-74.289,-139.9242,-120.4153
193,-58.8064,-139.5039,-119.1988
194,-66.8669,-139.1295,-119.0211
195,-129.788,-139.0816,-118.353
196,-114.5607,-138.9564,-119.5241
197,-265.4589,-139.5986,-121.2086
198,-86.7488,-139.3317,-120.9244
199,2.3688,-138.6196,-119.5607
200,-53.0252,-138.1916,-118.1361
201,-48.551,-137.7457,-117.5308
202,-68.3899,-137.4023,-114.9544
203,-3.0221,-136.7403,-114.545
204,-189.3953,-136.9985,-115.9196
205,-68.379,-136.6637,-116.0846
206,-556.9889,-138.7041,-120.6988
207,-99.9871,-138.5171,-119.3176
208,-229.3969,-138.954,-120.0783
209,-30.6687,-138.4359,-118.955
210,-39.2181,-137.9634,-118.6481
211,-57.3938,-137.5816,-117.8973
212,-11.6634,-136.9876,-117.0223
213,-60.7547,-136.6297,-116.4617
214,-51.0472,-136.2298,-116.4888
215,-55.9101,-135.8562,-116.365
216,-20.0912,-135.3203,-114.6586
217,-44.8262,-134.9033,-113.8634
218,-145.4152,-134.9515,-114.5458
219,-43.7376,-134.535,-113.4819
220,-41.8548,-134.1137,-112.9147
221,-100.6256,-133.9622,-111.3628
222,-159.5653,-134.0775,-111.5184
223,7.7731,-133.4414,-110.8888
224,-250.5016,-133.964,-112.4572
225,9.3669,-133.327,-110.8859
226,-66.0902,-133.0295,-110.3259
227,-53.1073,-132.6774,-109.8623
228,-49.9752,-132.3147,-109.4695
229,-135.5512,-132.3288,-109.8593
230,-15.6391,-131.8215,-109.4045
231,-158.488,-131.9369,-109.7398
232,-73.1389,-131.6835,-109.508
233,-54.2739,-131.3512,-109.83
234,-5.4001,-130.813,-108.9697
235,-23.076,-130.3545,-108.4981
236,-90.4339,-130.1854,-108.4446
237,-83.9522,-129.9903,-108.3367
238,-280.1497,-130.6212,-109.7382
239,-39.2169,-130.2388,-109.8302
240,-18.7658,-129.7743,-109.5111
241,-112.5023,-129.7026,-109.3529
242,-18.8153,-129.2444,-108.1991
243,-63.7802,-128.975,-107.8692
244,-3.7799,-128.4619,-106.8093
245,-80.2509,-128.2651,-106.6981
246,-17.9455,-127.8167,-105.4888
247,-40.8939,-127.4648,-104.9842
248,12.2577,-126.9014,-102.3732
249,-9.8828,-126.4314,-101.6306
250,-33.3986,-126.0593,-100.9106
251,-38.1552,-125.7091,-100.4181
252,-20.0395,-125.2897,-99.0373
253,-13.3919,-124.8475,-96.8457
