episode,reward, average reward, 100-episode running mean reward
54,-78.1867981193951,-182.23649320410138,-182.23649320410138
55,-100.89138198696179,-180.75749118197157,-180.75749118197157
56,-75.13106454413933,-178.87130499201027,-178.87130499201027
57,-74.7323460187204,-177.0443057117771,-177.0443057117771
58,-248.65541540907842,-178.278980016903,-178.278980016903
59,-154.53374757411598,-177.8765184500761,-177.8765184500761
60,-76.80189455090363,-176.1919413850899,-176.1919413850899
61,-177.28646029833854,-176.20988431809397,-176.20988431809397
62,-70.65499204120876,-174.5073860555636,-174.5073860555636
63,-289.89333661307734,-176.33890908028602,-176.33890908028602
64,-173.66526538191022,-176.29713339749887,-176.29713339749887
65,-83.80626543391719,-174.87419696728992,-174.87419696728992
66,-72.0409249032063,-173.31611708753107,-173.31611708753107
67,-284.4685381794532,-174.975108447112,-174.975108447112
68,-151.97441134058766,-174.6368629014278,-174.6368629014278
69,-181.72314679404982,-174.73956266798754,-174.73956266798754
70,-176.11604710209235,-174.7592267313319,-174.7592267313319
71,-308.3512919222355,-176.64080511430237,-176.64080511430237
72,-59.62901007063978,-175.0156412942515,-175.0156412942515
73,-211.38315754382427,-175.51382644835525,-175.51382644835525
74,-122.75591632785344,-174.80088171699708,-174.80088171699708
75,-171.25709592585315,-174.75363123978184,-174.75363123978184
76,-27.948528981745454,-172.82198515743926,-172.82198515743926
77,-211.53661597348687,-173.3247725706347,-173.3247725706347
78,-68.60763949173932,-171.9822452234694,-171.9822452234694
79,-308.15057505826076,-173.70589496821358,-173.70589496821358
80,-187.67139530639247,-173.8804637224408,-173.8804637224408
81,-86.6730065707837,-172.80382844896354,-172.80382844896354
82,-79.24810616346105,-171.6629050064574,-171.6629050064574
83,-55.66643059006216,-170.26535712192253,-170.26535712192253
84,-148.28192892860426,-170.00364964343063,-170.00364964343063
85,-247.92421979791564,-170.92036223348342,-170.92036223348342
86,-242.41014786249121,-171.75163881056488,-171.75163881056488
87,-285.3073310411676,-173.05687665229595,-173.05687665229595
88,-142.26101099835228,-172.70692363350116,-172.70692363350116
89,-251.88678417860973,-173.5965849879406,-173.5965849879406
90,-301.1014843944197,-175.01330609245701,-175.01330609245701
91,-270.5763868895922,-176.06344983748048,-176.06344983748048
92,-232.5909701510704,-176.67787940610646,-176.67787940610646
93,-290.27373503913884,-177.89934021936486,-177.89934021936486
94,-168.65434586035767,-177.80098921554566,-177.80098921554566
95,-76.5975354412231,-176.7356897021317,-176.7356897021317
96,-122.59422363534836,-176.17171609726938,-176.17171609726938
97,-14.824958521741777,-174.50834746247014,-174.50834746247014
98,-18.381652273176357,-172.91521791972224,-172.91521791972224
99,-227.08585045649056,-173.4623960261542,-173.4623960261542
100,-73.2913834063966,-172.46068589995667,-172.46068589995667
101,6.2900997570228725,-170.69087614097668,-171.26955752222054
102,-275.62364441326486,-171.71962877109718,-172.62042309581068
103,-147.284952596317,-171.4823989053226,-172.73777280194486
104,-279.5782959260357,-172.52178253052176,-174.91219599502162
105,-142.03900438191363,-172.2314703576779,-175.15415876585743
106,-77.28407330921941,-171.33574019684337,-173.81494300204022
107,-183.05194079653307,-171.44523739870962,-172.69158316639138
108,-189.2337068543645,-171.60994544922494,-173.24369280611467
109,-84.49022184047934,-170.81068192987865,-169.9993838268669
110,28.23304329591096,-169.00119351873514,-167.27738223144414
111,-100.30675480046092,-168.38232470145337,-167.30233141824755
112,29.781381021750093,-166.61300590035333,-166.76470477675446
113,-185.14255944062432,-166.77698425026725,-164.89041801987167
